#sgRNA,DMSO_B1,DMSO_B2,C109_B1,C109_B2
sgRNA1595,1792,1479,1463,1318
sgRNA1596,142,110,130,89
sgRNA1597,1332,1174,1125,1069
sgRNA1598,6,6,7,6
sgRNA1599,1051,769,886,743
sgRNA1600,714,654,619,662
sgRNA1601,348,276,326,277
sgRNA1602,316,277,269,278
sgRNA1603,341,261,282,303
sgRNA1604,731,624,567,573
sgRNA1605,492,406,450,392
sgRNA1606,405,307,369,314
sgRNA1607,465,303,329,271
sgRNA1608,463,421,367,307
sgRNA1609,386,340,320,337
sgRNA1610,5,5,5,5
sgRNA1611,179,162,157,132
sgRNA1612,181,150,183,152
sgRNA1613,6,6,5,5
sgRNA1614,287,235,223,184
sgRNA1615,280,215,255,223
sgRNA1616,482,394,450,375
sgRNA1617,1304,1148,976,975
sgRNA1618,569,393,494,390
sgRNA1619,443,347,457,349
sgRNA1620,433,319,424,405
sgRNA1621,185,136,131,135
sgRNA1622,179,144,139,121
sgRNA1623,209,204,205,195
sgRNA1624,258,203,266,209
sgRNA1625,382,299,312,291
sgRNA1626,276,242,236,204
sgRNA1627,344,281,275,252
sgRNA1628,198,153,200,166
sgRNA1629,6,6,5,6
sgRNA1630,5,5,5,5
sgRNA1631,5,5,5,5
sgRNA1632,551,366,468,340
sgRNA1633,362,367,284,269
sgRNA1634,5,5,5,5
sgRNA1635,219,222,200,212
sgRNA1636,175,121,156,123
sgRNA1637,1299,991,1150,895
sgRNA1638,5,5,5,5
sgRNA1639,122,138,109,124
sgRNA1640,244,217,250,226
sgRNA1641,905,794,730,725
sgRNA1642,316,264,293,279
sgRNA1643,580,437,541,443
sgRNA1644,546,464,451,469
sgRNA1645,949,699,845,701
sgRNA1646,321,254,344,280
sgRNA1647,5,5,5,5
sgRNA1648,2184,1616,2129,1630
sgRNA1649,840,726,177,132
sgRNA1650,84,92,124,146
sgRNA1651,733,510,593,542
sgRNA1652,610,518,522,478
sgRNA1653,3209,2626,2669,2411
sgRNA1654,60,51,50,53
sgRNA1655,1184,828,1170,778
sgRNA1656,3183,2106,3013,2225
sgRNA1657,2522,1979,2149,1854
sgRNA1658,243,219,254,218
sgRNA1659,2083,1651,1846,1526
sgRNA1660,5,5,5,5
sgRNA1661,4398,3302,3325,2842
sgRNA1662,1232,946,1146,858
