#sgRNA,DMSO_B1,DMSO_B2,PHAR_STL_B1,PHAR_STL_B2
sgRNA1595,1792,1479,1626,1175
sgRNA1596,142,110,120,80
sgRNA1597,1332,1174,1210,901
sgRNA1598,6,6,8,5
sgRNA1599,1051,769,940,688
sgRNA1600,714,654,700,573
sgRNA1601,348,276,344,244
sgRNA1602,316,277,307,205
sgRNA1603,341,261,290,224
sgRNA1604,731,624,594,480
sgRNA1605,492,406,486,342
sgRNA1606,405,307,386,303
sgRNA1607,465,303,337,247
sgRNA1608,463,421,420,322
sgRNA1609,386,340,332,289
sgRNA1610,5,5,5,5
sgRNA1611,179,162,186,121
sgRNA1612,181,150,166,126
sgRNA1613,6,6,5,5
sgRNA1614,287,235,242,169
sgRNA1615,280,215,244,177
sgRNA1616,482,394,421,336
sgRNA1617,1304,1148,1130,833
sgRNA1618,569,393,512,319
sgRNA1619,443,347,414,279
sgRNA1620,433,319,400,328
sgRNA1621,185,136,138,131
sgRNA1622,179,144,172,119
sgRNA1623,209,204,218,137
sgRNA1624,258,203,298,195
sgRNA1625,382,299,299,240
sgRNA1626,276,242,234,196
sgRNA1627,344,281,291,246
sgRNA1628,198,153,205,156
sgRNA1629,6,6,6,6
sgRNA1630,5,5,5,5
sgRNA1631,5,5,5,5
sgRNA1632,551,366,507,303
sgRNA1633,362,367,355,250
sgRNA1634,5,5,5,5
sgRNA1635,219,222,203,163
sgRNA1636,175,121,191,106
sgRNA1637,1299,991,1196,828
sgRNA1638,5,5,5,5
sgRNA1639,122,138,118,106
sgRNA1640,244,217,255,179
sgRNA1641,905,794,800,605
sgRNA1642,316,264,343,252
sgRNA1643,580,437,582,388
sgRNA1644,546,464,454,402
sgRNA1645,949,699,862,570
sgRNA1646,321,254,313,233
sgRNA1647,5,5,5,5
sgRNA1648,2184,1616,2000,1277
sgRNA1649,840,726,749,539
sgRNA1650,84,92,109,88
sgRNA1651,733,510,593,451
sgRNA1652,610,518,455,432
sgRNA1653,3209,2626,2965,2229
sgRNA1654,60,51,61,31
sgRNA1655,1184,828,1017,676
sgRNA1656,3183,2106,2869,1794
sgRNA1657,2522,1979,2073,1503
sgRNA1658,243,219,258,183
sgRNA1659,2083,1651,1958,1300
sgRNA1660,5,5,5,5
sgRNA1661,4398,3302,3978,2695
sgRNA1662,1232,946,1122,753
sgRNA1663,2030,1635,1716,1412
sgRNA1664,629,412,515,341
sgRNA1665,4938,4016,4796,3596
sgRNA1666,1929,1489,1770,1107
sgRNA1667,1712,1193,1490,1006
sgRNA1668,440,421,448,327
sgRNA1669,1576,1269,1333,1039
sgRNA1670,784,639,764,579
sgRNA1671,6,6,5,6
sgRNA1672,5,5,6,5
sgRNA1673,6,5,6,6
sgRNA1674,398,334,385,299
sgRNA1675,941,686,842,546
sgRNA1676,835,687,682,597
sgRNA1677,546,453,530,400
sgRNA1678,344,334,330,287
sgRNA1679,574,412,514,334
sgRNA1680,1496,1243,1272,891
sgRNA1681,5,5,5,5
sgRNA1682,40,30,24,28
sgRNA1685,613,588,575,483
sgRNA1686,122,73,79,84
sgRNA1687,245,192,197,156
sgRNA1688,173,150,152,125
sgRNA1689,326,258,292,220
sgRNA1690,5,5,5,5
sgRNA1691,137,127,156,109
sgRNA1692,121,117,139,109
sgRNA1693,102,84,90,69
sgRNA1694,145,130,138,139
sgRNA1695,169,137,122,110
sgRNA1696,309,287,257,205
sgRNA1697,450,434,471,361
sgRNA1698,242,201,228,157
sgRNA1699,97,76,80,65
sgRNA1700,229,182,229,157
sgRNA1701,179,138,171,132
sgRNA1702,254,247,227,220
sgRNA1703,90,75,91,74
sgRNA1704,12,9,11,6
sgRNA1705,107,101,88,74
sgRNA1706,158,150,163,122
sgRNA1707,114,69,119,63
sgRNA1708,170,160,178,98
sgRNA1742,533,456,457,371
sgRNA1743,857,686,766,527
sgRNA1744,301,211,231,181
sgRNA1745,5,5,5,5
sgRNA1746,190,204,188,149
sgRNA1747,250,210,212,150
sgRNA1748,6,5,8,6
sgRNA1749,78,67,98,49
sgRNA1750,146,117,121,95
sgRNA1751,176,117,166,103
sgRNA1752,193,171,204,122
sgRNA1753,222,177,203,138
sgRNA1754,942,766,762,583
sgRNA1755,103,72,107,68
sgRNA1756,5,5,6,5
sgRNA1757,79,68,58,53
sgRNA1758,134,138,116,87
sgRNA1759,115,95,103,61
sgRNA1760,5,5,5,5
sgRNA1761,24,13,20,22
sgRNA1762,193,156,161,120
sgRNA1763,174,118,135,95
sgRNA1764,5,5,5,5
sgRNA1765,223,178,165,135
sgRNA1766,5,5,5,5
sgRNA1767,5,5,6,5
sgRNA1768,5,5,5,5
sgRNA1769,5,5,5,5
sgRNA1770,5,5,5,5
sgRNA1771,226,200,180,172
sgRNA1772,2092,2021,1823,1565
sgRNA1773,5,5,5,5
sgRNA1774,236,237,276,174
sgRNA1775,5,5,5,5
sgRNA1776,150,117,117,102
sgRNA1777,198,188,187,126
sgRNA1778,44,38,44,28
sgRNA1779,92,75,95,63
sgRNA1780,794,670,746,608
sgRNA1781,593,496,605,391
sgRNA1782,6,6,5,5
sgRNA1783,440,333,344,276
sgRNA1785,6,5,5,5
sgRNA1786,211,174,227,193
sgRNA1787,331,234,304,180
sgRNA1788,159,112,146,103
sgRNA1789,130,116,117,90
sgRNA1790,223,195,179,147
sgRNA1791,108,79,93,62
sgRNA1792,201,134,157,72
sgRNA1793,224,157,188,144
sgRNA1794,151,117,131,101
sgRNA1795,257,199,219,160
sgRNA1796,255,202,217,168
sgRNA1797,48,30,44,24
sgRNA1798,415,347,321,240
