sgRNA_Manual,10x5x3xpool_Dep,10x5x3xWOR_Dep,10x5x3xWR_Dep,20x10x5xpool_Dep,20x10x5xWOR_Dep,20x10x5xWR_Dep,Spike-in_IC55_Depletion,Spike-in_IC55_Dep_Cond,1X_Depletion,Condition_1X_IC30_Dep
1464,49.72681033,-8.206622645,-12.05017167,62.92204874,-16.1791092,-49.8262961,41.04054572,5x3x2xpool_Dep,95.89322382,ON_0R
2026,-131.1090964,-3.855793079,-8.703821096,-191.1198195,-9.679311662,-67.75067576,-68.70138288,5x3x2xpool_Dep,96.12403101,ON_0R
1645,25.49639077,12.0724578,11.76545658,46.042479,7.755721688,72.21220997,14.25860204,5x3x2xpool_Dep,85.49804688,ON_01R
2045,-87.35483067,52.27140005,49.35819848,-42.77933203,43.38413882,-24.83140259,-28.0927424,5x3x2xpool_Dep,22.50733138,#N/A
1939,50.24960788,42.62855622,50.52030229,60.42446366,46.18742852,12.12222392,33.34883476,5x3x2xpool_Dep,50.87585682,ON_01R
1566,61.71400274,-47.09337766,-57.26577527,64.14123188,-30.86877602,-38.38721094,44.54579744,5x3x2xpool_Dep,90.06024096,ON_01R
2060,55.18672233,2.475992511,16.64440509,65.14577143,3.616569687,-56.24176654,39.06514342,5x3x2xpool_Dep,63.11188811,ON_0R
1588,55.97470513,20.83472293,13.00277741,58.44339811,26.27637683,-26.91795548,41.66664861,5x3x2xpool_Dep,79.69151671,ON_0R
1563,-40.25443423,27.39005992,24.87779523,-127.1558378,26.21144293,2.465202903,-43.60487823,5x3x2xpool_Dep,93.65671642,ON_0R
1396,-41.07379636,52.09699912,54.81257261,-6.895002222,49.9515872,37.99250251,-16.46921999,5x3x2xpool_Dep,72.1716515,ON_0R
1438,54.55973243,-55.03427625,-54.44360332,59.57098026,-48.34247768,-18.86873626,34.31637235,5x3x2xpool_Dep,94.82870071,ON_0R
1534,57.09390361,-2.108990726,-3.234744999,67.02515959,-20.35773045,-55.86046,50.97163075,5x3x2xpool_Dep,60.2173913,ON_0R
1570,62.30317042,-75.31415408,-78.14563353,65.63112826,-70.81893409,-171.220409,54.14902353,5x3x2xpool_Dep,65.91362126,ON_0R
1837,34.98143941,41.76066586,39.70901667,45.08331786,36.24784346,14.16656343,24.49154346,5x3x2xpool_Dep,79.67806841,ON_01R
1580,53.11938874,-35.29318367,-27.97585667,58.66403896,-28.1943752,-118.6751829,26.55079495,5x3x2xpool_Dep,62.1801433,ON_0R
1881,53.11036386,-12.55190486,-14.83888515,62.39167102,-22.03195518,-91.40031227,37.50292152,5x3x2xpool_Dep,44.00630915,ON_05R
1886,72.00109807,62.94222088,57.66452019,72.58176825,64.4137467,47.32831709,49.65561862,5x3x2xWR_Dep,74.06290392,ON_0R
1597,-129.8178746,26.20670076,19.101829,-114.0229006,18.107555,68.51403999,-93.29666026,5x3x2xpool_Dep,98.26498423,ON_0R
1882,38.75163144,20.6198688,22.49328632,51.41987664,19.81103928,-44.65088478,29.06206311,5x3x2xpool_Dep,46.75414365,ON_05R
1668,58.77925163,22.0211105,23.73778497,69.25857877,6.051896669,-45.07758355,48.738017,5x3x2xpool_Dep,72.21542228,ON_0R
1455,50.05406962,10.99806378,12.45141245,59.49959322,9.840456531,38.95492051,34.47709376,5x3x2xpool_Dep,91.16047144,ON_0R
1486,50.19207806,-130.3147112,-146.573818,55.40296436,-100.7374071,-257.4799133,37.5764389,5x3x2xpool_Dep,60,#N/A
2063,55.8829973,20.96612874,14.66198241,64.05904761,8.047431305,-49.4771774,46.02830904,5x3x2xpool_Dep,72.5846926,ON_0R
1883,64.8013866,-48.64621164,-40.91607445,71.28835262,-38.43399563,-131.6101942,-30.59224112,5x3x2xWOR_Dep,82.5,ON_0R
1404,42.61784159,-27.94857561,-39.85044405,52.40522959,-47.62691586,-58.60505734,27.6491394,5x3x2xpool_Dep,95.69752282,ON_0R
2027,44.27575148,-41.7617751,-37.98691099,51.1166948,-34.21758599,69.30822407,36.4665159,5x3x2xpool_Dep,95.80152672,ON_01R
1604,62.76035152,2.579159262,2.170424862,68.44393088,-6.196139734,-61.53476046,53.12297155,5x3x2xpool_Dep,73.41772152,ON_0R
1440,50.73783984,-70.76908362,-66.23609916,55.30625569,-58.79878678,-162.1524107,34.16234698,5x3x2xpool_Dep,76.39077341,ON_0R
1938,44.96798042,-49.69459961,-48.71299897,59.50861489,-70.26508594,-198.048423,36.78505691,5x3x2xpool_Dep,35.39244186,ON_05R
1481,-35.11752668,-61.09775399,-54.02553671,-98.56419155,-35.89921156,66.55561938,-36.0728436,5x3x2xpool_Dep,97.95501022,ON_0R
1410,52.39065092,-62.38877022,-70.05742163,59.48069569,-74.99733626,-201.8289313,39.56026141,5x3x2xpool_Dep,89.28,ON_0R
1857,73.44183363,10.37051743,2.13637489,72.89374322,16.29915189,-20.66862639,16.65787768,5x3x2xWOR_Dep,43.11531842,ON_05R
1405,43.62807037,-1.021355545,-5.531150379,54.78444365,-9.613563782,54.08631584,30.52654462,5x3x2xpool_Dep,92.24629418,ON_0R
1339,-133.0021045,-45.82587462,-47.93457865,-103.6358055,-42.85213917,93.53128178,-76.94605417,5x3x2xpool_Dep,99.44272446,ON_0R
1888,42.83269923,-61.8441613,-70.52423882,57.79310005,-68.76362691,-198.5134503,23.20214922,5x3x2xpool_Dep,24.30406852,#N/A
1633,59.72277907,25.14211967,22.9389214,66.65225342,22.56523307,-41.68744173,44.58555449,5x3x2xpool_Dep,71.73447537,ON_0R
1374,-9.995725255,23.84156028,26.22882898,16.55554303,27.9860927,-58.75516606,-35.93308235,5x3x2xpool_Dep,45.1183432,ON_05R
1870,65.27670534,23.15148207,17.80808444,68.5471709,21.35352607,-21.81518312,13.70505793,5x3x2xWOR_Dep,53.92320534,ON_01R
1516,-83.23352828,35.4018401,36.38585871,-60.41867264,32.58924732,86.17780434,-70.04826369,5x3x2xpool_Dep,98.66048429,ON_0R
1694,66.08242382,9.372474784,-5.93019875,68.39022973,1.299224257,-61.13103812,14.68529426,5x3x2xWOR_Dep,87.64044944,ON_0R
1555,43.90122747,-28.80406196,-37.16021589,50.12437632,-21.07690019,-66.22163075,22.78707392,5x3x2xpool_Dep,95.77669903,ON_0R
1532,62.19656295,2.022284652,4.114867821,69.1738823,-0.202650463,-66.43611545,48.54546977,5x3x2xpool_Dep,67.31651376,ON_0R
2049,41.41411413,22.52997083,23.99411686,53.86990272,23.59349489,-34.78191603,30.82523367,5x3x2xpool_Dep,49.84481688,ON_01R
