sgRNA_Manual,1X_Depletion
1447,44.33849821
1672,9.964412811
1863,27.29306488
1468,96.48241206
1384,55
1454,97.08860759
1948,74.09395973
1763,67.44321491
1608,39.68646865
1581,28.14814815
1622,17.33212341
1996,45.78668238
pZR15,35.41666667
1914,97.34375
2016,27.11471611
1462,91.86691312
1893,40
1829,71.19760479
2058,46.02446483
1972,80.32786885
1995,7.045735476
2059,41
2073,78.36676218
2010,88.95417156
1828,84.68899522
1615,56.8383659
1963,69.74267968
1639,74.42231076
1799,82.79009126
2062,37.35581189
1981,37.30620155
1959,75.39936102
1607,47.63948498
1436,97.87449393
1667,72.47796278
1635,82.70944742
1851,23
1796,40.57217165
2006,41.59836066
1573,28
1362,96.99398798
1902,50.67985167
1895,46.39534884
1535,21.81628392
1599,98.00995025
1923,69.60461285
1900,89.3220339
1399,89.83050847
1569,95.89041096
1529,42.94478528
1929,22.93577982
1574,67.03225806
1406,92.07443143
1859,34.09090909
1363,97.85867238
1905,98.7202925
1632,89.99090082
1786,67.3605948
1970,76.38888889
1351,97.61306533
1916,40.42838019
1579,62.25680934
2045,22.50733138
1967,78.76712329
1771,98.5619469
1921,72.39010989
2074,66.71043992
2017,92.3415493
1858,0
2046,2.127659574
1646,44.94773519
2042,96.914446
1872,0
1612,59.47136564
1414,0
1692,89.36170213
1911,93.63738739
1790,42.37288136
1602,72.34972678
1671,26.67353244
1952,80.89668616
1681,21.23197903
1689,12.7340824
1648,97.5308642
2076,68.9227836
1979,39.56989247
1880,43.53741497
1776,73.01324503
1354,83.41677096
1765,85.16984258
1747,94.2408377
1517,96.62337662
1634,74.1697417
1933,29.16666667
1655,91.04683196
1843,0
1968,10.57827927
1480,0
2028,96.90721649
1998,55.963991
1946,43.45549738
1885,50.46554935
1976,0
1705,74.2280285
1591,52.24489796
2069,46.39053254
2064,85.96059113
1993,42.97297297
1584,84.49920509
1845,59.48717949
1861,52.24274406
1971,84.05797101
1780,70.61469265
1963,69.74267968
1850,37.73747841
1957,83.75286041
1789,70.08547009
1700,61.35902637
2055,85.81560284
1698,0
1340,98.85057471
1628,0
1795,45.32803181
1961,93.68836292
1475,86.25792812
1666,85.04347826
1833,0
1693,98.55537721
2077,77.18579235
1932,53.19327731
1611,54.47409733
1841,38.01169591
1878,34.75479744
1701,15.43340381
1801,0
1864,64.14048059
1471,5.904761905
1636,82.35294118
1906,20.13513514
1752,66.71105193
1703,39.93660856
2048,0
1908,47.03770197
2040,59.26395939
2052,75.2173913
2061,80.19169329
2080,0
1903,15.14143095
1759,75.62028047
1901,28.28685259
1565,12.109375
1931,24.72677596
1743,98.47182426
2009,96.57142857
1934,56.96721311
1411,77.46781116
2078,0
1673,48.45360825
1782,97.19008264
1965,98.01980198
1618,0
1844,16.563147
1757,69.88352745
2002,18.66197183
1366,95.41832669
1578,65.17412935
1519,26.29272568
2029,74.00722022
1910,10.6741573
2033,47.35376045
2018,88.42592593
1983,87.30964467
2036,44.58438287
1788,92.73356401
1755,20.1754386
1781,80.03355705
1706,59.72540046
1964,4.38247012
2001,1.736111111
1613,31.15384615
1562,0
2037,20.58823529
1760,60.48192771
1751,48.10606061
1794,37.97468354
1779,89.25831202
2043,49.79919679
1650,73.3201581
1955,46.80851064
1699,41.06813996
1420,63.24110672
2038,30.33472803
1708,84.74576271
1940,0
1577,19.77186312
1792,79.67145791
1913,0
1686,60.6185567
1664,24.18032787
1589,0
1791,15.03416856
1437,0
1459,83.65122616
1897,0
2067,9.392265193
2000,92.96296296
1909,34.73684211
1862,0
2020,64.54545455
1749,70.50359712
1969,96.55172414
1431,34.52380952
1596,70.58823529
1750,0
1958,96.92307692
2054,68.58638743
1904,37.03703704
1985,77.3480663
1443,69.64285714
1528,42.46575342
1707,0.37037037
1947,0
1960,91.11111111
2003,0
1610,36.96969697
1941,55.90219224
1977,54.62962963
1787,93.24324324
1682,99
1531,65.71428571
1778,94.83568075
1355,88.63636364
1555,95.77669903
1989,92.45283019
2023,48.61111111
1660,43.24324324
1638,85.24590164
1797,61.56955204
2071,51
1433,16.66666667
1377,86.51838402
1467,99.50331126
1928,21.42857143
2042,96.914446
1488,98
1376,74.58382878
1422,24.48979592
1421,99.14244879
1935,67.2655218
1487,98
1378,89.94148788
1654,34.35334873
1398,25
1511,71.77177177
1510,79.0201005
1484,92.88629738
1867,71.49446494
1641,63.47992352
1670,88.73239437
1405,92.24629418
1645,85.49804688
1831,69.75222066
1761,82.22222222
1887,17.38970588
2022,89.47368421
1982,86.16144975
1588,79.69151671
1530,88.05227131
1338,98
1483,51.8723143
1676,99.42528736
1365,98.79258301
1856,39.82125124
1461,99
1595,81.41674333
2051,69.99306999
1860,42.31974922
1523,57.31707317
2063,72.5846926
1875,46.70999188
2060,63.11188811
1865,76.74418605
1939,50.87585682
1606,57.79310345
1423,91.85051778
1669,51.03857567
1617,97.67047861
1385,73.18596828
1446,55.30624621
1464,95.89322382
1846,89.85239852
