Stock ID,C109-0R-R1,C109-0R-R2,C109-01R-R1,C109-01R-R2
329,0.001542394,0.001621016,0.001429051,0.001500132
#N/A,0.002092479,0.002289477,0.002378555,0.001992175
170,0.001698791,0.00177699,0.001745552,0.001764155
#N/A,0.00223809,0.002556861,0.002301827,0.002490219
168,0.002103265,0.002189208,0.001793507,0.002292202
988,0.002610206,0.002606995,0.002656692,0.002340206
850,0.002038549,0.00210565,0.002340191,0.002028178
801,0.002049335,0.001977529,0.002388146,0.002082183
500,0.002302805,0.002066657,0.002570374,0.001998176
1045,0.002324377,0.002384175,0.002579965,0.002190193
631,0.001973833,0.001960817,0.001477006,0.00159614
812,0.001510036,0.001504036,0.00152496,0.001686148
1198,0.001957654,0.002061086,0.002579965,0.001488131
EDC1,0.001887545,0.00187726,0.001812689,0.002286201
638,0.001704184,0.001648869,0.001659234,0.001968173
632,0.001952261,0.002144644,0.00212919,0.002088184
432,0.001736542,0.001559741,0.001994917,0.001884166
824,0.001348247,0.001782561,0.001688007,0.001296114
425,0.001677219,0.001749138,0.001707188,0.001494131
811,0.001623289,0.001799272,0.001572915,0.001572138
363,0.001315889,0.001392626,0.001803098,0.001218107
633,0.001693398,0.001832696,0.002081235,0.001944171
503,0.001698791,0.001420478,0.001630461,0.001572138
360,0.001887545,0.002027663,0.002215509,0.001830161
793,0.001876759,0.001676721,0.001592097,0.001626143
557,0.001677219,0.001916253,0.001707188,0.001740153
537,0.002119444,0.002016522,0.002110008,0.002262199
935,0.001547787,0.001453901,0.001659234,0.00193217
361,0.002658743,0.00232847,0.002311418,0.002706238
512,0.002173374,0.002044375,0.002196327,0.002088184
842,0.001828223,0.001966388,0.001851053,0.001914168
1096,0.00124578,0.001086248,0.001371505,0.001218107
818,0.001434535,0.00132578,0.001275596,0.001656146
785,0.001186457,0.001136383,0.001064595,0.001080095
362,0.001412963,0.000919133,0.001227641,0.001332117
277,0.002070907,0.002361893,0.00253201,0.002322204
552,0.001332068,0.001208799,0.001074186,0.001446127
EDC13,0.001801258,0.00199424,0.001659234,0.001920169
437,0.001725756,0.001699003,0.002148372,0.001950172
1211,0.001731149,0.001799272,0.001851053,0.001788157
509,0.002033156,0.001481754,0.001812689,0.00192617
341,0.001531608,0.001676721,0.001448233,0.00147613
667,0.001035453,0.00110853,0.000920731,0.001110098
937,0.001359033,0.001203229,0.001371505,0.001506133
357,0.001563966,0.001782561,0.001534551,0.00170415
825,0.001801258,0.002016522,0.001793507,0.001956172
176,0.001537001,0.001409337,0.001716779,0.001410124
579,0.001477678,0.001242222,0.00121805,0.001302115
882,0.001434535,0.001375914,0.001544142,0.001374121
555,0.001391391,0.001743567,0.00172637,0.000828073
570,0.001526215,0.001264504,0.001409869,0.001536135
1210,0.001218815,0.000896851,0.00121805,0.0011401
816,0.001542394,0.001504036,0.001285187,0.001614142
346,0.001434535,0.001504036,0.001572915,0.001470129
355,0.001558573,0.001815984,0.001678416,0.001806159
572,0.00099231,0.00099712,0.001055004,0.00125411
849,0.001310496,0.001448331,0.001285187,0.001422125
551,0.001067811,0.001097389,0.001266005,0.001176103
428,0.001574752,0.001281216,0.001611279,0.001578139
204,0.00119185,0.00121437,0.001102959,0.001470129
541,0.001385998,0.001676721,0.001390687,0.001488131
342,0.001380605,0.001281216,0.001170095,0.001434126
354,0.001418356,0.001264504,0.001448233,0.001290114
352,0.001644861,0.001208799,0.001563324,0.001452128
694,0.001224208,0.001375914,0.001007049,0.001170103
208,0.001617896,0.001309068,0.001486597,0.001422125
162,0.001666433,0.001732426,0.001764734,0.001908168
436,0.001418356,0.001336921,0.001064595,0.001530135
337,0.001369819,0.001292357,0.00121805,0.001284113
798,0.000943773,0.000857857,0.001064595,0.000828073
EDC40,0.001375212,0.001492895,0.001486597,0.001032091
542,0.001154099,0.001247793,0.001409869,0.001266111
1066,0.001612503,0.001671151,0.001572915,0.001260111
1100,0.001342854,0.001453901,0.001381096,0.001266111
442,0.001326675,0.001342491,0.001371505,0.001668147
802,0.001359033,0.001398196,0.001208459,0.001686148
782,0.000911415,0.001008261,0.000728912,0.000720063
511,0.001439928,0.00110853,0.001141323,0.001188105
639,0.001537001,0.001793702,0.001534551,0.001602141
886,0.001267352,0.001169806,0.000959095,0.001068094
344,0.001644861,0.001504036,0.001678416,0.001716151
EDC38,0.001445321,0.00110296,0.001294778,0.001422125
936,0.001305103,0.00121437,0.001150914,0.001386122
1097,0.000868271,0.00099155,0.000872776,0.001122099
890,0.001741935,0.002077798,0.001994917,0.001338118
549,0.001337461,0.001136383,0.001390687,0.001344118
814,0.001466892,0.001487324,0.001438642,0.001440127
164,0.001116348,0.001398196,0.001256414,0.001464129
449,0.001148706,0.001236652,0.001007049,0.001218107
166,0.000906022,0.000985979,0.000891958,0.000930082
59,0.001412963,0.001192088,0.001467415,0.00136812
196,0.000771197,0.000724165,0.000882367,0.000996088
330,0.001644861,0.001687862,0.001553733,0.001494131
379,0.001100169,0.001292357,0.001198868,0.001068094
443,0.00135364,0.001258934,0.001256414,0.001128099
1194,0.001272745,0.001398196,0.001505779,0.00147613
353,0.001434535,0.001375914,0.001592097,0.001524134
786,0.001251173,0.001336921,0.001582506,0.001332117
444,0.001666433,0.002044375,0.001860644,0.001878165
670,0.001197243,0.001353632,0.001198868,0.001116098
550,0.001208029,0.001186517,0.001093368,0.001110098
325,0.001510036,0.001453901,0.00141946,0.001302115
184,0.001143313,0.001275645,0.001093368,0.001104097
374,0.001520822,0.001637728,0.001448233,0.001440127
