Stock ID,Novobiocin-0R-R1,Novobiocin-0R-R2,Novobiocin-01R-R1,Novobiocin-01R-R2
637,0.001543031,0.001441421,0.001896897,0.00141827
329,0.001694658,0.00149779,0.001522679,0.001492916
#N/A,0.002327925,0.002230579,0.00219369,0.002791753
170,0.001739255,0.001562211,0.002000129,0.001343625
#N/A,0.002113863,0.001908474,0.002206594,0.002060224
168,0.002131702,0.002496316,0.002348539,0.002284162
988,0.001926559,0.002311105,0.002916317,0.002582745
850,0.00214954,0.002439947,0.002516291,0.002552887
801,0.002158459,0.002536579,0.002400155,0.002463312
500,0.001846286,0.001964842,0.001922705,0.00195572
1045,0.002247652,0.001948737,0.002477579,0.002269232
631,0.001855205,0.001997053,0.001909801,0.002015437
812,0.001721416,0.001546105,0.001638815,0.001642208
1198,0.001587627,0.002142,0.00308407,0.001672066
EDC1,0.001962236,0.001731316,0.001948513,0.002358807
638,0.00190872,0.001449474,0.001187173,0.002060224
632,0.001944397,0.002182263,0.00232273,0.002209516
432,0.001641143,0.001642737,0.001909801,0.001582491
824,0.001739255,0.001546105,0.001496871,0.001388412
425,0.001971155,0.002101737,0.001742048,0.001910933
811,0.001712497,0.001409211,0.001703336,0.001537704
363,0.001587627,0.001377,0.001922705,0.001925862
633,0.00190872,0.002093684,0.001806568,0.002418524
503,0.001578708,0.001723263,0.001677528,0.001731783
360,0.002060348,0.002061474,0.002051745,0.00231402
793,0.001605466,0.001377,0.001471063,0.00125405
557,0.001516273,0.001674947,0.00171624,0.001552633
537,0.001757093,0.00165079,0.002284018,0.001746712
935,0.001623304,0.001224,0.001264598,0.00177657
361,0.002203056,0.001610526,0.001961417,0.001910933
512,0.001427081,0.001368947,0.001677528,0.001403341
842,0.001748174,0.002125895,0.001935609,0.002179658
1096,0.001007876,0.001119316,0.001019421,0.001209262
818,0.001828447,0.001658842,0.001522679,0.001866145
785,0.001346807,0.001457526,0.001200077,0.001268979
362,0.001427081,0.001143474,0.00123879,0.001104758
277,0.001926559,0.001747421,0.002425963,0.00177657
552,0.001453838,0.001159579,0.001019421,0.001567562
EDC13,0.001391404,0.001352842,0.001561391,0.001761641
437,0.001400323,0.001393105,0.001496871,0.001642208
1211,0.001507354,0.001554158,0.001638815,0.001209262
509,0.001507354,0.001755474,0.001806568,0.001940791
341,0.00155195,0.001691053,0.001767856,0.001612349
667,0.001105987,0.001014632,0.00089038,0.000970395
937,0.001204099,0.001062947,0.00143235,0.001119687
357,0.001757093,0.001578316,0.001496871,0.001149545
825,0.001409242,0.001368947,0.001354926,0.001194333
176,0.001498435,0.001779632,0.001754952,0.001612349
579,0.001186261,0.000982421,0.001109749,0.001149545
882,0.001587627,0.001199842,0.001393638,0.001657137
555,0.001614385,0.002512421,0.002413059,0.002299091
570,0.001587627,0.001312579,0.001483967,0.00123912
1210,0.001293292,0.001207895,0.000864572,0.00141827
816,0.001489515,0.001312579,0.001316214,0.001298837
346,0.001623304,0.001538053,0.001935609,0.001821358
355,0.001783851,0.001707158,0.001613007,0.001612349
572,0.001052472,0.001135421,0.001006517,0.001373483
849,0.001650062,0.001868211,0.001858184,0.001985578
551,0.000891925,0.000829421,0.001083941,0.000985325
428,0.001462758,0.001441421,0.001200077,0.001507845
204,0.001650062,0.001296474,0.001225886,0.001224191
541,0.001534112,0.001457526,0.001109749,0.001015183
342,0.001525192,0.001570263,0.001535583,0.001507845
354,0.001213019,0.001377,0.001225886,0.001328695
352,0.001328969,0.001642737,0.00143235,0.001358554
694,0.00083841,0.001224,0.001225886,0.001268979
208,0.001480596,0.001103211,0.001406542,0.001463058
162,0.001284373,0.001143474,0.00136783,0.001194333
436,0.000998956,0.001071,0.001212981,0.001164475
337,0.001123826,0.001135421,0.001264598,0.001179404
798,0.001337888,0.001594421,0.001406542,0.001463058
EDC40,0.001703578,0.002158105,0.002206594,0.001537704
542,0.00107923,0.001151526,0.001032325,0.001164475
1066,0.001221938,0.001779632,0.001883993,0.001463058
1100,0.001391404,0.001449474,0.001419446,0.001358554
442,0.001123826,0.000926053,0.000941996,0.001209262
802,0.001480596,0.001489737,0.001316214,0.001403341
782,0.000874087,0.000829421,0.001096845,0.000985325
511,0.001221938,0.001111263,0.001006517,0.001089829
639,0.001658981,0.00165079,0.001522679,0.001582491
886,0.001293292,0.001521947,0.001471063,0.001209262
344,0.001213019,0.001304526,0.001083941,0.00159742
EDC38,0.001186261,0.001183737,0.001058133,0.001119687
936,0.001105987,0.001175684,0.001251694,0.001119687
1097,0.000775975,0.000748895,0.000787148,0.000865891
890,0.001266534,0.001731316,0.002090457,0.002299091
549,0.001088149,0.001095158,0.001354926,0.001030112
814,0.001221938,0.001183737,0.001535583,0.001298837
164,0.001204099,0.000901895,0.001006517,0.000865891
449,0.001025714,0.001095158,0.001290406,0.001089829
166,0.00095436,0.001232053,0.000812956,0.001030112
59,0.001097068,0.000998526,0.001096845,0.000731529
196,0.00095436,0.001030737,0.00082586,0.000865891
330,0.00131113,0.001360895,0.001316214,0.001313766
379,0.00095436,0.000861632,0.000941996,0.001283908
443,0.001534112,0.001827947,0.001329118,0.001701924
1194,0.001507354,0.001489737,0.001019421,0.00141827
353,0.001337888,0.00149779,0.001290406,0.00125405
786,0.00131113,0.000942158,0.001122653,0.000940537
444,0.001730335,0.001288421,0.001729144,0.001298837
670,0.001418161,0.001433368,0.001535583,0.001388412
550,0.001105987,0.000893842,0.001251694,0.001209262
325,0.001453838,0.001256211,0.001419446,0.001224191
184,0.001284373,0.001691053,0.001174269,0.001686995
374,0.001213019,0.001183737,0.00130331,0.00123912
539,0.001230857,0.001167632,0.00136783,0.001463058
587,0.000793814,0.000853579,0.000735531,0.000836033
799,0.001177342,0.001127368,0.001200077,0.0010749
