Stock ID,Novobiocin-0R-R1,Novobiocin-0R-R2,Novobiocin-01R-R1,Novobiocin-01R-R2
943,0.00048164,0.000459,0.000554875,0.000388158
834,0.000258658,0.000442895,0.000309697,0.000328442
438,0.000303255,0.000354316,0.000387122,0.000223937
EDC1703,0.000222981,0.000217421,0.000129041,0.00017915
EDC1699,0.000178385,0.000281842,0.000270985,0.000343371
952,0.000285416,0.000330158,0.00034841,0.000253796
EDC18,0.000312174,0.000241579,0.000258081,0.000209008
1075,0.000303255,0.000386526,0.000400026,0.000328442
827,0.000338932,0.000338211,0.000503258,0.000298583
791,0.000222981,0.000193263,0.000129041,0.000149292
198,0.000312174,0.000257684,0.00047745,0.000223937
1110,0.000160547,0.000322105,0.000438738,0.000298583
1021,0.000267578,0.000330158,0.000374218,0.000313512
950,0.000133789,0.000161053,0.000103232,0.000209008
1093,7.14E-05,8.05E-05,0.000167753,0.000119433
1029,0.000294335,0.000354316,0.000206465,0.000253796
EDC9,0.000410286,0.000297947,0.000296793,0.000238867
EDC19,0.000276497,0.000209368,0.000283889,0.000238867
1289,0.000321093,0.000225474,0.000219369,0.000268725
1190,0.000160547,0.000104684,0.000167753,0.000223937
641,0.00011595,0.000128842,9.03E-05,0.000134362
574,0.00012487,0.000153,0.000193561,0.000149292
#N/A,0.000294335,0.000314053,0.000232273,0.000194079
1205,0.000330012,0.000491211,0.000374218,0.000283654
640,7.14E-05,9.66E-05,6.45E-05,5.97E-05
1022,0.000187304,0.000161053,0.000180657,0.000253796
EDC16,0.000187304,0.000112737,0.000296793,0.000194079
498,0.000169466,0.000330158,0.000490354,0.000298583
377,9.81E-05,0.000120789,0.000322601,0.00017915
1038,8.03E-05,7.25E-05,0.000193561,0.000119433
441,0.000133789,0.000104684,0.00041293,0.000253796
202,2.68E-05,8.05E-05,9.03E-05,4.48E-05
EDC32,0.000107031,0.000144947,0.000154849,8.96E-05
39,8.03E-05,8.05E-05,0.000154849,7.46E-05
EDC8,0.000321093,0.000322105,0.000206465,0.000253796
275,8.92E-06,1.61E-05,1.49E-05,1.49E-05
334,0.000151627,7.25E-05,9.03E-05,0.000164221
1233,9.81E-05,8.86E-05,1.29E-05,1.29E-05
674,0.000107031,8.05E-05,0.000154849,0.000119433
440,2.68E-05,4.83E-05,3.87E-05,3.87E-05
646,2.68E-05,4.83E-05,0.000167753,7.46E-05
1108,2.68E-05,4.83E-05,6.45E-05,2.99E-05
332,6.24E-05,9.66E-05,9.03E-05,4.48E-05
643,0.000107031,0.000120789,5.16E-05,5.97E-05
EDC49,2.68E-05,2.42E-05,6.45E-05,4.48E-05
57,4.46E-05,8.86E-05,3.87E-05,2.99E-05
#N/A,0.000107031,0.000120789,0.000141945,0.000164221
930,2.42E-05,2.42E-05,1.49E-05,1.49E-05
880,2.68E-05,4.03E-05,7.46E-05,2.99E-05
41,3.57E-05,7.25E-05,0.000141945,5.97E-05
947,1.78E-05,3.22E-05,7.46E-05,7.46E-05
635,4.46E-05,5.64E-05,6.45E-05,1.49E-05
EDC20,8.92E-06,8.92E-06,2.58E-05,2.58E-05
